variable,group,tp,fp,linked,precision,reference_group,reference_precision,precision_dr,precision_ppg,low_volume_flag,is_reference
sex,Female,2159,452,2611,0.8268862504787438,Female,0.8268862504787438,1.0,0.0,False,True
sex,Male,1975,414,2389,0.8267057346169946,Female,0.8268862504787438,0.9997816920263886,-0.00018051586174916423,False,False
age_band,18–29,849,188,1037,0.8187078109932497,65+,0.8299418604651163,0.9864640524752291,-0.01123404947186657,False,False
age_band,30–44,1406,289,1695,0.8294985250737463,65+,0.8299418604651163,0.9994658235564579,-0.0004433353913699811,False,False
age_band,45–64,1308,272,1580,0.8278481012658228,65+,0.8299418604651163,0.9974772218404309,-0.0020937591992935545,False,False
age_band,65+,571,117,688,0.8299418604651163,65+,0.8299418604651163,1.0,0.0,False,True
ethnicity,Asian,355,157,512,0.693359375,Mixed,0.885593220338983,0.7829321172248804,-0.19223384533898302,False,False
ethnicity,Black,375,92,467,0.8029978586723768,Mixed,0.885593220338983,0.9067344241467987,-0.08259536166660619,False,False
ethnicity,Mixed,209,27,236,0.885593220338983,Mixed,0.885593220338983,1.0,0.0,False,True
ethnicity,Other,229,36,265,0.8641509433962264,Mixed,0.885593220338983,0.9757876681411936,-0.021442276942756577,False,False
ethnicity,White,2966,554,3520,0.8426136363636364,Mixed,0.885593220338983,0.9514680295780775,-0.042979583975346625,False,False
id_quality,High,2969,534,3503,0.8475592349414788,High,0.8475592349414788,1.0,0.0,False,True
id_quality,Low,1165,332,1497,0.7782231128924516,High,0.8475592349414788,0.9181931843928116,-0.06933612204902717,False,False
